A,200
Ё,2
А,1167
Б,1158
В,495
Г,874
Д,800
Е,105
Ж,339
З,644
И,366
Й,4
К,1056
Л,724
М,771
Н,495
О,752
П,1384
Р,518
С,1367
Т,978
У,280
Ф,200
Х,296
Ц,240
Ч,288
Ш,289
Щ,160
Э,234
Ю,146
Я,224
